ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
04461,12620,1,3070,1391,114707955,114276977,3070,1391,114707955,114276977,153923,73860,9212796487,8799125852,100,100,100,100,1.99,1.88,1.25,1.3
04462,12620,1,4785,3301,868650879,769699483,4835,3859,3298386447,3032137295,153923,73860,9212796487,8799125852,98.97,85.54,26.34,25.38,3.11,4.47,9.43,8.75
04468,12620,1,9521,4487,316778601,308944328,9521,4487,316778601,308944328,153923,73860,9212796487,8799125852,100,100,100,100,6.19,6.08,3.44,3.51
04469,12620,1,2702,2,625565,625565,2702,2,625565,625565,153923,73860,9212796487,8799125852,100,100,100,100,1.76,0,.01,.01
04473,12620,1,7660,3087,50125358,46480286,7660,3087,50125358,46480286,153923,73860,9212796487,8799125852,100,100,100,100,4.98,4.18,.54,.53
04474,12620,1,3733,1612,70794269,64726304,3733,1612,70794269,64726304,153923,73860,9212796487,8799125852,100,100,100,100,2.43,2.18,.77,.74
04475,12620,1,418,233,63159210,62703160,418,233,63159210,62703160,153923,73860,9212796487,8799125852,100,100,100,100,.27,.32,.69,.71
04487,12620,1,964,1130,607927963,569227919,964,1130,607927963,569227919,153923,73860,9212796487,8799125852,100,100,100,100,.63,1.53,6.6,6.47
04488,12620,1,1202,621,94913388,90623378,1202,621,94913388,90623378,153923,73860,9212796487,8799125852,100,100,100,100,.78,.84,1.03,1.03
04489,12620,1,197,79,519680,519680,197,79,519680,519680,153923,73860,9212796487,8799125852,100,100,100,100,.13,.11,.01,.01
04493,12620,1,1967,1253,192674524,172937683,1967,1253,192674524,172937683,153923,73860,9212796487,8799125852,100,100,100,100,1.28,1.7,2.09,1.97
04495,12620,1,407,210,113529096,113177087,407,210,113529096,113177087,153923,73860,9212796487,8799125852,100,100,100,100,.26,.28,1.23,1.29
04497,12620,1,46,43,75690451,74491229,389,424,631374599,622376193,153923,73860,9212796487,8799125852,11.83,10.14,11.99,11.97,.03,.06,.82,.85
04530,38860,1,10818,5807,101084494,74492111,10818,5807,101084494,74492111,514098,262718,7400156129,5386265282,100,100,100,100,2.1,2.21,1.37,1.38
04547,40500,2,1152,896,60012234,36528521,1152,896,60012234,36528521,39736,23744,2962805797,945691411,100,100,100,100,2.9,3.77,2.03,3.86
04548,38860,1,1042,1044,74033746,48130048,1042,1044,74033746,48130048,514098,262718,7400156129,5386265282,100,100,100,100,.2,.4,1,.89
04562,38860,1,2216,1748,116224904,74026850,2216,1748,116224904,74026850,514098,262718,7400156129,5386265282,100,100,100,100,.43,.67,1.57,1.37
04563,40500,2,1534,926,66015522,49817691,1534,926,66015522,49817691,39736,23744,2962805797,945691411,100,100,100,100,3.86,3.9,2.23,5.27
04574,40500,2,1510,787,101157265,98165483,1510,787,101157265,98165483,39736,23744,2962805797,945691411,100,100,100,100,3.8,3.31,3.41,10.38
04579,38860,1,3072,1412,107680893,90842229,3072,1412,107680893,90842229,514098,262718,7400156129,5386265282,100,100,100,100,.6,.54,1.46,1.69
04645,40500,2,73,172,105646404,32428332,73,172,105646404,32428332,39736,23744,2962805797,945691411,100,100,100,100,.18,.72,3.57,3.43
04733,12620,1,16,12,40707216,40707216,221,191,139166724,136281559,153923,73860,9212796487,8799125852,7.24,6.28,29.25,29.87,.01,.02,.44,.46
04765,12620,1,1241,1090,1532202479,1473120852,1262,1109,1539562073,1480480446,153923,73860,9212796487,8799125852,98.34,98.29,99.52,99.5,.81,1.48,16.63,16.74
04777,12620,1,422,248,234598757,233410485,422,248,234598757,233410485,153923,73860,9212796487,8799125852,100,100,100,100,.27,.34,2.55,2.65
04841,40500,2,7297,3925,35204856,33258651,7297,3925,35204856,33258651,39736,23744,2962805797,945691411,100,100,100,100,18.36,16.53,1.19,3.52
04843,40500,2,4851,3168,61987114,47885623,4851,3168,61987114,47885623,39736,23744,2962805797,945691411,100,100,100,100,12.21,13.34,2.09,5.06
04847,40500,2,1536,805,61845497,56877124,1536,805,61845497,56877124,39736,23744,2962805797,945691411,100,100,100,100,3.87,3.39,2.09,6.01
04851,40500,2,75,158,25814755,6014348,75,158,25814755,6014348,39736,23744,2962805797,945691411,100,100,100,100,.19,.67,.87,.64
04853,40500,2,354,512,61287699,29447552,354,512,61287699,29447552,39736,23744,2962805797,945691411,100,100,100,100,.89,2.16,2.07,3.11
04854,40500,2,1580,1060,32193823,22990798,1580,1060,32193823,22990798,39736,23744,2962805797,945691411,100,100,100,100,3.98,4.46,1.09,2.43
04855,40500,2,307,347,13911250,5969256,307,347,13911250,5969256,39736,23744,2962805797,945691411,100,100,100,100,.77,1.46,.47,.63
04856,40500,2,3330,1956,62019596,56043634,3330,1956,62019596,56043634,39736,23744,2962805797,945691411,100,100,100,100,8.38,8.24,2.09,5.93
04858,40500,2,1533,860,37860279,29501247,1533,860,37860279,29501247,39736,23744,2962805797,945691411,100,100,100,100,3.86,3.62,1.28,3.12
04859,40500,2,724,612,40103014,17161745,724,612,40103014,17161745,39736,23744,2962805797,945691411,100,100,100,100,1.82,2.58,1.35,1.81
04860,40500,2,1591,1261,93082644,46195451,1591,1261,93082644,46195451,39736,23744,2962805797,945691411,100,100,100,100,4,5.31,3.14,4.88
04861,40500,2,2781,1385,29718519,28326258,2781,1385,29718519,28326258,39736,23744,2962805797,945691411,100,100,100,100,7,5.83,1,3
04862,40500,2,3592,1859,176260162,168344362,3592,1859,176260162,168344362,39736,23744,2962805797,945691411,100,100,100,100,9.04,7.83,5.95,17.8
04863,40500,2,1165,1295,135458172,60367605,1165,1295,135458172,60367605,39736,23744,2962805797,945691411,100,100,100,100,2.93,5.45,4.57,6.38
04864,40500,2,4751,1760,126261008,120361160,4751,1760,126261008,120361160,39736,23744,2962805797,945691411,100,100,100,100,11.96,7.41,4.26,12.73
04901,12300,2,26248,11921,211838640,204123376,26248,11921,211838640,204123376,122151,60972,2463530618,2246876912,100,100,100,100,21.49,19.55,8.6,9.08
04910,12300,2,2041,923,102198367,100560698,2041,923,102198367,100560698,122151,60972,2463530618,2246876912,100,100,100,100,1.67,1.51,4.15,4.48
04917,12300,2,2849,1727,139960033,102858901,2849,1727,139960033,102858901,122151,60972,2463530618,2246876912,100,100,100,100,2.33,2.83,5.68,4.58
04918,12300,2,349,480,10210637,9265168,349,480,10210637,9265168,122151,60972,2463530618,2246876912,100,100,100,100,.29,.79,.41,.41
04926,12300,2,52,26,280174,280174,52,26,280174,280174,122151,60972,2463530618,2246876912,100,100,100,100,.04,.04,.01,.01
04927,12300,2,3486,1547,116009532,113631606,3486,1547,116009532,113631606,122151,60972,2463530618,2246876912,100,100,100,100,2.85,2.54,4.71,5.06
04928,12620,1,2198,1075,102183043,100175076,2198,1075,102183043,100175076,153923,73860,9212796487,8799125852,100,100,100,100,1.43,1.46,1.11,1.14
04930,12620,1,3895,2141,96226755,90976548,4295,2413,145995357,139740820,153923,73860,9212796487,8799125852,90.69,88.73,65.91,65.1,2.53,2.9,1.04,1.03
04932,12620,1,1181,557,94363009,93987426,1181,557,94363009,93987426,153923,73860,9212796487,8799125852,100,100,100,100,.77,.75,1.02,1.07
04933,12620,1,65,20,240546,240546,65,20,240546,240546,153923,73860,9212796487,8799125852,100,100,100,100,.04,.03,0,0
04939,12620,1,1105,552,98261741,97565112,1105,552,98261741,97565112,153923,73860,9212796487,8799125852,100,100,100,100,.72,.75,1.07,1.11
04953,12620,1,3228,1753,95577597,76224618,3228,1753,95577597,76224618,153923,73860,9212796487,8799125852,100,100,100,100,2.1,2.37,1.04,.87
04962,12300,2,125,65,213898,213898,125,65,213898,213898,122151,60972,2463530618,2246876912,100,100,100,100,.1,.11,.01,.01
04963,12300,2,7238,4050,154906583,132085455,7238,4050,154906583,132085455,122151,60972,2463530618,2246876912,100,100,100,100,5.93,6.64,6.29,5.88
04969,12620,1,1362,608,80346910,76937416,1362,608,80346910,76937416,153923,73860,9212796487,8799125852,100,100,100,100,.88,.82,.87,.87
04988,12300,2,43,19,27018222,26967006,2134,955,134056071,128937902,122151,60972,2463530618,2246876912,2.01,1.99,20.15,20.91,.04,.03,1.1,1.2
04989,12300,2,4215,2000,123606524,114435388,4215,2000,123606524,114435388,122151,60972,2463530618,2246876912,100,100,100,100,3.45,3.28,5.02,5.09
05001,30100,2,9123,5151,113760650,111919352,9123,5151,113760650,111919352,174724,100083,8854121246,8715618168,100,100,100,100,5.22,5.15,1.28,1.28
05031,30100,2,218,205,26250861,25833524,218,205,26250861,25833524,174724,100083,8854121246,8715618168,100,100,100,100,.12,.2,.3,.3
05032,30100,2,2664,1414,182144149,181174122,2664,1414,182144149,181174122,174724,100083,8854121246,8715618168,100,100,100,100,1.52,1.41,2.06,2.08
05033,30100,2,2744,1259,75541604,74903469,2744,1259,75541604,74903469,174724,100083,8854121246,8715618168,100,100,100,100,1.57,1.26,.85,.86
05034,30100,2,310,181,14807328,14710739,310,181,14807328,14710739,174724,100083,8854121246,8715618168,100,100,100,100,.18,.18,.17,.17
05035,30100,2,638,491,82929619,82722713,638,491,82929619,82722713,174724,100083,8854121246,8715618168,100,100,100,100,.37,.49,.94,.95
05036,30100,2,1037,567,87172495,86424130,1037,567,87172495,86424130,174724,100083,8854121246,8715618168,100,100,100,100,.59,.57,.98,.99
05037,30100,2,560,444,27079469,26949432,560,444,27079469,26949432,174724,100083,8854121246,8715618168,100,100,100,100,.32,.44,.31,.31
05038,30100,2,1230,691,102786624,102661608,1230,691,102786624,102661608,174724,100083,8854121246,8715618168,100,100,100,100,.7,.69,1.16,1.18
05039,30100,2,1110,665,114363331,114225399,1110,665,114363331,114225399,174724,100083,8854121246,8715618168,100,100,100,100,.64,.66,1.29,1.31
05040,30100,2,471,249,27726517,27529209,471,249,27726517,27529209,174724,100083,8854121246,8715618168,100,100,100,100,.27,.25,.31,.32
05041,30100,2,354,159,15241344,15233971,354,159,15241344,15233971,174724,100083,8854121246,8715618168,100,100,100,100,.2,.16,.17,.17
05043,30100,2,937,413,22045975,21188841,937,413,22045975,21188841,174724,100083,8854121246,8715618168,100,100,100,100,.54,.41,.25,.24
05045,30100,2,1758,1115,138611901,133895973,1758,1115,138611901,133895973,174724,100083,8854121246,8715618168,100,100,100,100,1.01,1.11,1.57,1.54
05048,30100,2,2429,1103,71590451,71288603,2429,1103,71590451,71288603,174724,100083,8854121246,8715618168,100,100,100,100,1.39,1.1,.81,.82
05051,30100,2,1549,1009,126248023,124386223,1549,1009,126248023,124386223,174724,100083,8854121246,8715618168,100,100,100,100,.89,1.01,1.43,1.43
05052,30100,2,348,157,7144784,6718383,348,157,7144784,6718383,174724,100083,8854121246,8715618168,100,100,100,100,.2,.16,.08,.08
05053,30100,2,332,189,22666117,22614226,332,189,22666117,22614226,174724,100083,8854121246,8715618168,100,100,100,100,.19,.19,.26,.26
05055,30100,2,3363,1529,106872781,106303595,3363,1529,106872781,106303595,174724,100083,8854121246,8715618168,100,100,100,100,1.92,1.53,1.21,1.22
05056,30100,2,567,815,112342870,110894448,567,815,112342870,110894448,174724,100083,8854121246,8715618168,100,100,100,100,.32,.81,1.27,1.27
05058,30100,2,346,161,10627664,10624841,346,161,10627664,10624841,174724,100083,8854121246,8715618168,100,100,100,100,.2,.16,.12,.12
05059,30100,2,874,689,14104237,13695356,874,689,14104237,13695356,174724,100083,8854121246,8715618168,100,100,100,100,.5,.69,.16,.16
05060,12740,2,10,6,242000,242000,4415,2225,180714985,179970527,59534,29941,1801139363,1779926134,.23,.27,.13,.13,.02,.02,.01,.01
05060,30100,2,4405,2219,180472985,179728527,4415,2225,180714985,179970527,174724,100083,8854121246,8715618168,99.77,99.73,99.87,99.87,2.52,2.22,2.04,2.06
05061,30100,2,1679,577,67130867,67027651,1679,577,67130867,67027651,174724,100083,8854121246,8715618168,100,100,100,100,.96,.58,.76,.77
05062,30100,2,702,475,110961529,110481570,702,475,110961529,110481570,174724,100083,8854121246,8715618168,100,100,100,100,.4,.47,1.25,1.27
05065,30100,2,1064,531,84396391,83375669,1064,531,84396391,83375669,174724,100083,8854121246,8715618168,100,100,100,100,.61,.53,.95,.96
05067,30100,2,258,176,42622394,42601406,258,176,42622394,42601406,174724,100083,8854121246,8715618168,100,100,100,100,.15,.18,.48,.49
05068,30100,2,3125,1691,134855476,133301036,3125,1691,134855476,133301036,174724,100083,8854121246,8715618168,100,100,100,100,1.79,1.69,1.52,1.53
05069,30100,2,41,23,8258560,8256047,555,290,31549867,31106162,174724,100083,8854121246,8715618168,7.39,7.93,26.18,26.54,.02,.02,.09,.09
05070,30100,2,484,245,35486385,35445156,484,245,35486385,35445156,174724,100083,8854121246,8715618168,100,100,100,100,.28,.24,.4,.41
05071,30100,2,324,263,50034798,49993625,324,263,50034798,49993625,174724,100083,8854121246,8715618168,100,100,100,100,.19,.26,.57,.57
05072,30100,2,526,295,68268663,67841260,526,295,68268663,67841260,174724,100083,8854121246,8715618168,100,100,100,100,.3,.29,.77,.78
05075,30100,2,1113,562,67043265,66407506,1113,562,67043265,66407506,174724,100083,8854121246,8715618168,100,100,100,100,.64,.56,.76,.76
05076,30100,2,412,271,74823695,74677961,412,271,74823695,74677961,174724,100083,8854121246,8715618168,100,100,100,100,.24,.27,.85,.86
05077,30100,2,1215,718,109811379,109418659,1215,718,109811379,109418659,174724,100083,8854121246,8715618168,100,100,100,100,.7,.72,1.24,1.26
05079,30100,2,730,435,94633831,94503797,730,435,94633831,94503797,174724,100083,8854121246,8715618168,100,100,100,100,.42,.43,1.07,1.08
05081,30100,2,550,299,24271777,24094582,550,299,24271777,24094582,174724,100083,8854121246,8715618168,100,100,100,100,.31,.3,.27,.28
05083,30100,2,151,76,1865523,1865523,151,76,1865523,1865523,174724,100083,8854121246,8715618168,100,100,100,100,.09,.08,.02,.02
05084,30100,2,140,58,6212532,6144723,140,58,6212532,6144723,174724,100083,8854121246,8715618168,100,100,100,100,.08,.06,.07,.07
05086,30100,2,793,408,63477751,63359508,793,408,63477751,63359508,174724,100083,8854121246,8715618168,100,100,100,100,.45,.41,.72,.73
05089,30100,2,4979,2515,107172791,106311086,4979,2515,107172791,106311086,174724,100083,8854121246,8715618168,100,100,100,100,2.85,2.51,1.21,1.22
05091,30100,2,3288,2033,174718188,173715267,3288,2033,174718188,173715267,174724,100083,8854121246,8715618168,100,100,100,100,1.88,2.03,1.97,1.99
05142,30100,2,680,430,70190247,69698388,680,430,70190247,69698388,174724,100083,8854121246,8715618168,100,100,100,100,.39,.43,.79,.8
05143,30100,2,3727,2165,208166751,207354411,4343,2503,246734107,245690001,174724,100083,8854121246,8715618168,85.82,86.5,84.37,84.4,2.13,2.16,2.35,2.38
05148,13540,2,85,89,14653960,14572425,1140,1035,70938500,69779396,37125,20922,1755122278,1748190656,7.46,8.6,20.66,20.88,.23,.43,.83,.83
05148,30100,2,14,16,1127992,1127094,1140,1035,70938500,69779396,174724,100083,8854121246,8715618168,1.23,1.55,1.59,1.62,.01,.02,.01,.01
05149,30100,2,2092,3417,115461744,114079846,2092,3417,115461744,114079846,174724,100083,8854121246,8715618168,100,100,100,100,1.2,3.41,1.3,1.31
05150,30100,2,831,416,6398790,6194900,831,416,6398790,6194900,174724,100083,8854121246,8715618168,100,100,100,100,.48,.42,.07,.07
05151,30100,2,1553,789,73281614,72012508,1553,789,73281614,72012508,174724,100083,8854121246,8715618168,100,100,100,100,.89,.79,.83,.83
05152,13540,2,448,772,105794777,105467078,448,772,105794777,105467078,37125,20922,1755122278,1748190656,100,100,100,100,1.21,3.69,6.03,6.03
05153,30100,2,687,535,32651532,32540197,687,535,32651532,32540197,174724,100083,8854121246,8715618168,100,100,100,100,.39,.53,.37,.37
05155,13540,2,6,27,27097,27097,828,1798,108184281,107538268,37125,20922,1755122278,1748190656,.72,1.5,.03,.03,.02,.13,0,0
05156,30100,2,9226,4241,157398427,156333531,9226,4241,157398427,156333531,174724,100083,8854121246,8715618168,100,100,100,100,5.28,4.24,1.78,1.79
05161,30100,2,552,549,89956641,89440904,552,549,89956641,89440904,174724,100083,8854121246,8715618168,100,100,100,100,.32,.55,1.02,1.03
05201,13540,2,14851,6739,242010890,241102399,14851,6739,242010890,241102399,37125,20922,1755122278,1748190656,100,100,100,100,40,32.21,13.79,13.79
05250,13540,2,3408,1929,237988995,237184139,3408,1929,237988995,237184139,37125,20922,1755122278,1748190656,100,100,100,100,9.18,9.22,13.56,13.57
05251,13540,2,1350,1061,90538334,90411653,1350,1061,90538334,90411653,37125,20922,1755122278,1748190656,100,100,100,100,3.64,5.07,5.16,5.17
05252,13540,2,274,173,101517118,100844368,274,173,101517118,100844368,37125,20922,1755122278,1748190656,100,100,100,100,.74,.83,5.78,5.77
05253,13540,2,674,386,33194372,32987366,685,393,34207327,34000321,37125,20922,1755122278,1748190656,98.39,98.22,97.04,97.02,1.82,1.84,1.89,1.89
05253,40860,2,11,7,1012955,1012955,685,393,34207327,34000321,61642,33768,2446969140,2408224790,1.61,1.78,2.96,2.98,.02,.02,.04,.04
05254,13540,2,273,302,5252320,5213000,273,302,5252320,5213000,37125,20922,1755122278,1748190656,100,100,100,100,.74,1.44,.3,.3
05255,13540,2,4121,2560,102372984,102090167,4121,2560,102372984,102090167,37125,20922,1755122278,1748190656,100,100,100,100,11.1,12.24,5.83,5.84
05257,13540,2,2718,991,33137894,32887455,2718,991,33137894,32887455,37125,20922,1755122278,1748190656,100,100,100,100,7.32,4.74,1.89,1.88
05260,13540,2,459,206,25172197,24920356,459,206,25172197,24920356,37125,20922,1755122278,1748190656,100,100,100,100,1.24,.98,1.43,1.43
05261,13540,2,2738,1267,83559973,83109526,2738,1267,83559973,83109526,37125,20922,1755122278,1748190656,100,100,100,100,7.38,6.06,4.76,4.75
05262,13540,2,2547,1217,197442662,197253776,2547,1217,197442662,197253776,37125,20922,1755122278,1748190656,100,100,100,100,6.86,5.82,11.25,11.28
05340,13540,2,763,1722,113976152,112748594,763,1722,113976152,112748594,37125,20922,1755122278,1748190656,100,100,100,100,2.06,8.23,6.49,6.45
05350,13540,2,763,496,94474965,94088470,763,496,94474965,94088470,37125,20922,1755122278,1748190656,100,100,100,100,2.06,2.37,5.38,5.38
05352,13540,2,824,410,102612394,102312123,824,410,102612394,102312123,37125,20922,1755122278,1748190656,100,100,100,100,2.22,1.96,5.85,5.85
05363,13540,2,109,93,55869191,55541319,2021,2607,171834082,166272330,37125,20922,1755122278,1748190656,5.39,3.57,32.51,33.4,.29,.44,3.18,3.18
05401,15540,1,28185,12730,15682536,15341366,28185,12730,15682536,15341366,211261,92358,3900388860,3242912847,100,100,100,100,13.34,13.78,.4,.47
05403,15540,1,17593,8285,42974450,42477974,17593,8285,42974450,42477974,211261,92358,3900388860,3242912847,100,100,100,100,8.33,8.97,1.1,1.31
05404,15540,1,7240,3383,3903706,3697712,7240,3383,3903706,3697712,211261,92358,3900388860,3242912847,100,100,100,100,3.43,3.66,.1,.11
05405,15540,1,4406,3,602184,602184,4406,3,602184,602184,211261,92358,3900388860,3242912847,100,100,100,100,2.09,0,.02,.02
05408,15540,1,10114,4308,11644935,10930278,10114,4308,11644935,10930278,211261,92358,3900388860,3242912847,100,100,100,100,4.79,4.66,.3,.34
05439,15540,1,1734,69,487838,458147,1734,69,487838,458147,211261,92358,3900388860,3242912847,100,100,100,100,.82,.07,.01,.01
05440,15540,1,1998,1370,76962439,75473054,1998,1370,76962439,75473054,211261,92358,3900388860,3242912847,100,100,100,100,.95,1.48,1.97,2.33
05441,15540,1,958,418,82639493,82423250,958,418,82639493,82423250,211261,92358,3900388860,3242912847,100,100,100,100,.45,.45,2.12,2.54
05444,15540,1,915,371,27606137,27215548,1714,738,53093060,52426130,211261,92358,3900388860,3242912847,53.38,50.27,52,51.91,.43,.4,.71,.84
05445,15540,1,3754,1706,107252468,106859626,3754,1706,107252468,106859626,211261,92358,3900388860,3242912847,100,100,100,100,1.78,1.85,2.75,3.3
05446,15540,1,15373,7045,97120456,94936779,15373,7045,97120456,94936779,211261,92358,3900388860,3242912847,100,100,100,100,7.28,7.63,2.49,2.93
05447,15540,1,79,38,802635,790257,79,38,802635,790257,211261,92358,3900388860,3242912847,100,100,100,100,.04,.04,.02,.02
05448,15540,1,1134,495,105495298,105085952,1134,495,105495298,105085952,211261,92358,3900388860,3242912847,100,100,100,100,.54,.54,2.7,3.24
05450,15540,1,4977,2135,310715643,307850027,4977,2135,310715643,307850027,211261,92358,3900388860,3242912847,100,100,100,100,2.36,2.31,7.97,9.49
05452,15540,1,19710,8193,108795617,107559004,19710,8193,108795617,107559004,211261,92358,3900388860,3242912847,100,100,100,100,9.33,8.87,2.79,3.32
05454,15540,1,4447,1752,126085793,122742033,4447,1752,126085793,122742033,211261,92358,3900388860,3242912847,100,100,100,100,2.1,1.9,3.23,3.78
05455,15540,1,1080,413,86937483,86295058,1080,413,86937483,86295058,211261,92358,3900388860,3242912847,100,100,100,100,.51,.45,2.23,2.66
05457,15540,1,1617,945,105629565,99545684,1617,945,105629565,99545684,211261,92358,3900388860,3242912847,100,100,100,100,.77,1.02,2.71,3.07
05458,15540,1,2044,1178,42456903,42417581,2044,1178,42456903,42417581,211261,92358,3900388860,3242912847,100,100,100,100,.97,1.28,1.09,1.31
05459,15540,1,2156,832,67690185,66399633,2156,832,67690185,66399633,211261,92358,3900388860,3242912847,100,100,100,100,1.02,.9,1.74,2.05
05461,15540,1,4396,1847,103151772,102118847,4542,1906,107636558,106596690,211261,92358,3900388860,3242912847,96.79,96.9,95.83,95.8,2.08,2,2.64,3.15
05462,15540,1,1938,821,98524648,98267202,1938,821,98524648,98267202,211261,92358,3900388860,3242912847,100,100,100,100,.92,.89,2.53,3.03
05463,15540,1,471,454,20451899,20421034,471,454,20451899,20421034,211261,92358,3900388860,3242912847,100,100,100,100,.22,.49,.52,.63
05464,15540,1,210,113,34590880,34531072,3008,1417,168907363,167851782,211261,92358,3900388860,3242912847,6.98,7.97,20.48,20.57,.1,.12,.89,1.06
05465,15540,1,5355,2078,113258216,112764341,5355,2078,113258216,112764341,211261,92358,3900388860,3242912847,100,100,100,100,2.53,2.25,2.9,3.48
05468,15540,1,12942,5117,169354307,165434063,12942,5117,169354307,165434063,211261,92358,3900388860,3242912847,100,100,100,100,6.13,5.54,4.34,5.1
05471,15540,1,865,583,124952468,124803090,896,662,133944703,133793753,211261,92358,3900388860,3242912847,96.54,88.07,93.29,93.28,.41,.63,3.2,3.85
05474,15540,1,803,966,34892288,34846755,803,966,34892288,34846755,211261,92358,3900388860,3242912847,100,100,100,100,.38,1.05,.89,1.07
05476,15540,1,3183,1458,166397161,165163747,3183,1458,166397161,165163747,211261,92358,3900388860,3242912847,100,100,100,100,1.51,1.58,4.27,5.09
05477,15540,1,4397,1884,121559945,120206296,4397,1884,121559945,120206296,211261,92358,3900388860,3242912847,100,100,100,100,2.08,2.04,3.12,3.71
05478,15540,1,14449,6621,158142388,156621128,14449,6621,158142388,156621128,211261,92358,3900388860,3242912847,100,100,100,100,6.84,7.17,4.05,4.83
05481,15540,1,0,1,973626,972298,0,1,973626,972298,211261,92358,3900388860,3242912847,0,100,100,100,0,0,.02,.03
05482,15540,1,7198,3101,65457731,63443661,7198,3101,65457731,63443661,211261,92358,3900388860,3242912847,100,100,100,100,3.41,3.36,1.68,1.96
05483,15540,1,1303,637,55218741,52704287,1303,637,55218741,52704287,211261,92358,3900388860,3242912847,100,100,100,100,.62,.69,1.42,1.63
05485,15540,1,93,43,476408,476408,93,43,476408,476408,211261,92358,3900388860,3242912847,100,100,100,100,.04,.05,.01,.01
05486,15540,1,1654,1080,38719598,38682119,1654,1080,38719598,38682119,211261,92358,3900388860,3242912847,100,100,100,100,.78,1.17,.99,1.19
05487,15540,1,30,14,12858748,12848260,1498,684,116870374,116546973,211261,92358,3900388860,3242912847,2,2.05,11,11.02,.01,.02,.33,.4
05488,15540,1,7690,3763,171890283,167273145,7690,3763,171890283,167273145,211261,92358,3900388860,3242912847,100,100,100,100,3.64,4.07,4.41,5.16
05489,15540,1,3174,1262,137459303,137270165,3174,1262,137459303,137270165,211261,92358,3900388860,3242912847,100,100,100,100,1.5,1.37,3.52,4.23
05494,15540,1,1767,693,89130877,88606529,1767,693,89130877,88606529,211261,92358,3900388860,3242912847,100,100,100,100,.84,.75,2.29,2.73
05495,15540,1,9341,3928,88002498,86689453,9341,3928,88002498,86689453,211261,92358,3900388860,3242912847,100,100,100,100,4.42,4.25,2.26,2.67
05602,12740,2,11916,5806,213383040,210287146,11916,5806,213383040,210287146,59534,29941,1801139363,1779926134,100,100,100,100,20.02,19.39,11.85,11.81
05640,12740,2,161,87,9773217,9628237,161,87,9773217,9628237,59534,29941,1801139363,1779926134,100,100,100,100,.27,.29,.54,.54
05641,12740,2,16613,7692,102992511,102590574,17169,7943,141060507,140073023,59534,29941,1801139363,1779926134,96.76,96.84,73.01,73.24,27.91,25.69,5.72,5.76
05641,30100,2,556,251,38067996,37482449,17169,7943,141060507,140073023,174724,100083,8854121246,8715618168,3.24,3.16,26.99,26.76,.32,.25,.43,.43
05647,12740,2,1141,630,77919573,76230027,1141,630,77919573,76230027,59534,29941,1801139363,1779926134,100,100,100,100,1.92,2.1,4.33,4.28
05648,12740,2,423,256,23670559,23100708,423,256,23670559,23100708,59534,29941,1801139363,1779926134,100,100,100,100,.71,.86,1.31,1.3
05649,12740,2,230,107,615659,608163,574,260,40558607,40440628,59534,29941,1801139363,1779926134,40.07,41.15,1.52,1.5,.39,.36,.03,.03
05649,30100,2,344,153,39942948,39832465,574,260,40558607,40440628,174724,100083,8854121246,8715618168,59.93,58.85,98.48,98.5,.2,.15,.45,.46
05650,12740,2,1123,612,62764298,60980569,1123,612,62764298,60980569,59534,29941,1801139363,1779926134,100,100,100,100,1.89,2.04,3.48,3.43
05651,12740,2,1546,651,44977192,44496815,1546,651,44977192,44496815,59534,29941,1801139363,1779926134,100,100,100,100,2.6,2.17,2.5,2.5
05654,12740,2,805,379,4462967,4385124,970,454,7596974,7464479,59534,29941,1801139363,1779926134,82.99,83.48,58.75,58.75,1.35,1.27,.25,.25
05654,30100,2,165,75,3134007,3079355,970,454,7596974,7464479,174724,100083,8854121246,8715618168,17.01,16.52,41.25,41.25,.09,.07,.04,.04
05658,12740,2,1402,676,99751307,97260005,1402,676,99751307,97260005,59534,29941,1801139363,1779926134,100,100,100,100,2.35,2.26,5.54,5.46
05660,12740,2,1660,841,103388905,102910453,1660,841,103388905,102910453,59534,29941,1801139363,1779926134,100,100,100,100,2.79,2.81,5.74,5.78
05663,12740,2,6759,2369,139465499,139016575,6773,2377,142440147,141990167,59534,29941,1801139363,1779926134,99.79,99.66,97.91,97.91,11.35,7.91,7.74,7.81
05663,30100,2,14,8,2974648,2973592,6773,2377,142440147,141990167,174724,100083,8854121246,8715618168,.21,.34,2.09,2.09,.01,.01,.03,.03
05664,12740,2,80,34,43125,43125,80,34,43125,43125,59534,29941,1801139363,1779926134,100,100,100,100,.13,.11,0,0
05667,12740,2,2166,1000,117752850,117134422,2166,1000,117752850,117134422,59534,29941,1801139363,1779926134,100,100,100,100,3.64,3.34,6.54,6.58
05669,12740,2,604,393,105002109,104876645,634,413,109981610,109852084,59534,29941,1801139363,1779926134,95.27,95.16,95.47,95.47,1.01,1.31,5.83,5.89
05669,30100,2,12,9,2856488,2856488,634,413,109981610,109852084,174724,100083,8854121246,8715618168,1.89,2.18,2.6,2.6,.01,.01,.03,.03
05673,12740,2,2574,1938,142493549,142010045,2574,1938,142493549,142010045,59534,29941,1801139363,1779926134,100,100,100,100,4.32,6.47,7.91,7.98
