ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00692,41980,1,37511,16026,71307202,69307906,37511,16026,71307202,69307906,2478905,1073552,5223033344,4117856690,100,100,100,100,1.51,1.49,1.37,1.68
00693,41980,1,61038,25884,105492827,101838924,61038,25884,105492827,101838924,2478905,1073552,5223033344,4117856690,100,100,100,100,2.46,2.41,2.02,2.47
00694,41980,1,328,188,4000664,2043548,328,188,4000664,2043548,2478905,1073552,5223033344,4117856690,100,100,100,100,.01,.02,.08,.05
00698,49500,1,41782,17924,188071102,180309254,41782,17924,188071102,180309254,107333,45631,726214759,497613517,100,100,100,100,38.93,39.28,25.9,36.23
00703,41980,1,28605,11417,76883454,76855070,28605,11417,76883454,76855070,2478905,1073552,5223033344,4117856690,100,100,100,100,1.15,1.06,1.47,1.87
00704,17620,2,7915,3552,12789381,11015548,8577,3871,14401602,12627769,71590,31096,497661896,381705801,92.28,91.76,88.81,87.23,11.06,11.42,2.57,2.89
00704,25020,1,662,319,1612221,1612221,8577,3871,14401602,12627769,84214,37946,564011616,328148208,7.72,8.24,11.19,12.77,.79,.84,.29,.49
00705,17620,2,55,33,2320496,2320087,25598,10297,82820598,82748292,71590,31096,497661896,381705801,.21,.32,2.8,2.8,.08,.11,.47,.61
00705,41980,1,25543,10264,80500102,80428205,25598,10297,82820598,82748292,2478905,1073552,5223033344,4117856690,99.79,99.68,97.2,97.2,1.03,.96,1.54,1.95
00707,41980,1,12225,5546,58378173,54561503,12225,5546,58378173,54561503,2478905,1073552,5223033344,4117856690,100,100,100,100,.49,.52,1.12,1.32
00714,25020,1,19566,8871,37901916,37859151,19566,8871,37901916,37859151,84214,37946,564011616,328148208,100,100,100,100,23.23,23.38,6.72,11.54
